id,title,title_source,start,end,title_uri,ccodes,variants,types,aat_types,matches,lon,lat,geowkt,geo_source,geo_id,description,parent_name,parent_id
1409,Cabin Creek,Historical Conflict Event Dataset,1863,,,US,,battlefield,300000835,,-95.1177808,36.4850962,,,,American Civil War,,
1410,Cabira,Historical Conflict Event Dataset,-0072,,,TR,,battlefield,300000835,,36.96089,39.7483912,,,,['Mithridatic War'],,
1411,Cabo de Gata,Historical Conflict Event Dataset,1643,,,ES,,battlefield,300000835,,-2.2598977,36.776221,,,,Thirty Years War,,
1412,Cabo de Gata,Historical Conflict Event Dataset,1815,,,ES,,battlefield,300000835,,-2.2598977,36.776221,,,,['Algerine War                    '],,
1413,Cabra,Historical Conflict Event Dataset,1079,,,ES,,battlefield,300000835,,-4.4425169,37.4733595,,,,Early Christian Reconquest of Spain,,
1414,Cabrian,Historical Conflict Event Dataset,1817,,,VZ,,battlefield,300000835,,-65.1026606,7.5690813,,,,Venezuelan War of Independence,,
1415,Cabrillas,Historical Conflict Event Dataset,1808,,,ES,,battlefield,300000835,,-6.178553,40.739905,,,,Napoleonic War (Peninsula Campaign),,
1416,Cacabellos,Historical Conflict Event Dataset,1809,,,ES,,battlefield,300000835,,-6.7259138,42.598666,,,,Napoleonic Wars (Peninsula Campaign),,
1417,Cacarajicara,Historical Conflict Event Dataset,1896,,,CU,,battlefield,300000835,,-83.2688557,22.85,,,,['Cuban War'],,
1418,Cachiri,Historical Conflict Event Dataset,1816,,,CO,,battlefield,300000835,,-72.9904038,7.468932,,,,['Colombian War'],,
1419,Cadiz,Historical Conflict Event Dataset,1587,,,ES,,battlefield,300000835,,-6.2885962,36.5270612,,,,Anglo-Spanish Wars,,
1420,Cadiz,Historical Conflict Event Dataset,1596,,,ES,,battlefield,300000835,,-6.2885962,36.5270612,,,,Anglo-Spanish Wars,,
1421,Cadiz,Historical Conflict Event Dataset,1625,,,ES,,battlefield,300000835,,-6.2885962,36.5270612,,,,Anglo-Spanish Wars,,
1422,Cadiz,Historical Conflict Event Dataset,1656,,,ES,,battlefield,300000835,,-6.2885962,36.5270612,,,,Anglo-Spanish Wars,,
1423,Cadiz,Historical Conflict Event Dataset,1702,,,ES,,battlefield,300000835,,-6.3568237,36.5052393,,,,War of the Spanish Succession,,
1424,Cadiz,Historical Conflict Event Dataset,1808,,,ES,,battlefield,300000835,,-6.2885962,36.5270612,,,,Napoleonic Wars (Peninsula Campaign),,
1425,Cadiz,Historical Conflict Event Dataset,1810,1812,,ES,,battlefield,300000835,,-6.2885962,36.5270612,,,,Napoleonic Wars (Peninsula Campaign),,
1426,Cadore,Historical Conflict Event Dataset,1508,,,IT,,battlefield,300000835,,12.3738983,46.4288309,,,,War of the League of Cambrai,,
1427,Cadsand,Historical Conflict Event Dataset,1337,,,NL,,battlefield,300000835,,3.4077694,51.3692317,,,,['Hundred Years War'],,
1428,Caen,Historical Conflict Event Dataset,1346,,,FR,,battlefield,300000835,,-0.370679,49.182863,,,,['Hundred Years War                       '],,
1429,Caen,Historical Conflict Event Dataset,1417,,,FR,,battlefield,300000835,,-0.370679,49.182863,,,,['Hundred Years War'],,
1430,Caen,Historical Conflict Event Dataset,1450,,,FR,,battlefield,300000835,,-0.370679,49.182863,,,,['Hundred Years War                       '],,
1431,Caen,Historical Conflict Event Dataset,1944,,,FR,,battlefield,300000835,,-0.370679,49.182863,,,,['World War II'],,
1432,Caer Caradoc,Historical Conflict Event Dataset,0050,,,GB,,battlefield,300000835,,-2.8026223,52.5305407,,,,Roman Conquest of Britain,,
1433,Cagancha,Historical Conflict Event Dataset,1839,,,AR,,battlefield,300000835,,-56.5306627,-34.463303,,,,Argentine Civil Wars,,
1434,Cagancha,Historical Conflict Event Dataset,1858,,,UY,,battlefield,300000835,,-56.5306627,-34.463303,,,,Diaz Revolt in Uruguay,,
1435,Caibate,Historical Conflict Event Dataset,1756,,,BR,,battlefield,300000835,,-54.6392254,-28.2876223,,,,['Guarani War'],,
1436,Cairo,Historical Conflict Event Dataset,1772,,,EG,,battlefield,300000835,,31.2357116,30.0444196,,,,Mamluk Wars,,
1437,Cairo,Historical Conflict Event Dataset,1801,,,EG,,battlefield,300000835,,31.2357116,30.0444196,,,,French Revolutionary Wars (Middle East),,
1438,Caishi,Historical Conflict Event Dataset,1161,,,CN,,battlefield,300000835,,118.4577582,31.6483543,,,,Jin-Song Wars,,
1439,Caister Castle,Historical Conflict Event Dataset,1469,,,GB,,battlefield,300000835,,1.724422,52.6486469,,,,Wars of the Roses,,
1440,Caizhou,Historical Conflict Event Dataset,0817,,,CN,,battlefield,300000835,,114.0665497,32.906084,,,,Later Tang Imperial Wars,,
1441,Cajamarca,Historical Conflict Event Dataset,1532,,,PE,,battlefield,300000835,,-78.5127855,-7.1617465,,,,Spanish Conquest of Peru,,
1442,Cakranegara,Historical Conflict Event Dataset,1894,,,ID,,battlefield,300000835,,116.1300345,-8.5899195,,,,Dutch Conquest of Bali,,
1443,Calabar,Historical Conflict Event Dataset,1967,,,NG,,battlefield,300000835,,8.3417006,4.9757165,,,,['Biafran War'],,
1444,Calabee Creek,Historical Conflict Event Dataset,1814,,,US,,battlefield,300000835,,-85.8931559,32.3854167,,,,['Creek Indian War'],,
1445,Calabozo,Historical Conflict Event Dataset,1818,,,VZ,,battlefield,300000835,,-67.4158925,8.9180089,,,,Venezuelan War of Independence,,
1446,Calabria,Historical Conflict Event Dataset,1940,,,IT,,battlefield,300000835,,17.3601743,38.3082212,,,,"['World War II', '(War at Sea']",,
1447,Calafat,Historical Conflict Event Dataset,1854,,,RO,,battlefield,300000835,,22.934115,43.9897523,,,,['Crimean War       '],,
1448,Calahorra,Historical Conflict Event Dataset,-0074,,,ES,,battlefield,300000835,,-1.9673133,42.3073551,,,,['Sertorian War       '],,
1449,Calais,Historical Conflict Event Dataset,1346,1347,,FR,,battlefield,300000835,,1.858686,50.95129,,,,Hundred Years War,,
1450,Calais,Historical Conflict Event Dataset,1558,,,FR,,battlefield,300000835,,1.858686,50.95129,,,,['Habsburg-Valois War       '],,
1451,Calais,Historical Conflict Event Dataset,1596,,,FR,,battlefield,300000835,,1.858686,50.95129,,,,['9th French War of Religion            '],,
1452,Calais,Historical Conflict Event Dataset,1940,,,FR,,battlefield,300000835,,1.858686,50.95129,,,,['World War II'],,
1453,Calakmul,Historical Conflict Event Dataset,0695,,,MX,,battlefield,300000835,,-89.8085443,18.1145271,,,,Star Wars,,
1454,Calatafimi,Historical Conflict Event Dataset,1860,,,IT,,battlefield,300000835,,12.8635653,37.9141401,,,,2nd Italian War of Independence,,
1455,Calatanazar,Historical Conflict Event Dataset,1002,,,ES,,battlefield,300000835,,-2.8175177,41.6991588,,,,Later Christian-Muslim Wars in Spain,,
1456,Calatayud,Historical Conflict Event Dataset,1811,,,ES,,battlefield,300000835,,-1.6468455,41.3531678,,,,Napoleonic Wars (Peninsula Campaign),,
1457,Calavryta,Historical Conflict Event Dataset,1079,,,GR,,battlefield,300000835,,22.1103462,38.033281,,,,Byzantine War of Succession,,
1458,Calcinato,Historical Conflict Event Dataset,1706,,,IT,,battlefield,300000835,,10.3956036,45.4584952,,,,['y War of the Spanish         Succession            '],,
1459,Calcutta,Historical Conflict Event Dataset,1756,,,IN,,battlefield,300000835,,88.363895,22.572646,,,,Seven Years' War,,
1460,Calcutta,Historical Conflict Event Dataset,1757,,,IN,,battlefield,300000835,,88.363895,22.572646,,,,Seven Years' War,,
1461,Caldera Bay,Historical Conflict Event Dataset,1891,,,CL,,battlefield,300000835,,-70.8178142,-27.0667,,,,Chilean Civil War,,
1462,Calderon,Historical Conflict Event Dataset,1811,,,MX,,battlefield,300000835,,-103.0139794,20.6742193,,,,Mexican Wars of Independence,,
1463,Calderon,Historical Conflict Event Dataset,1860,,,MX,,battlefield,300000835,,-103.0139794,20.6742193,,,,Mexican War of the Reform,,
1464,Caldiero,Historical Conflict Event Dataset,1796,,,IT,,battlefield,300000835,,11.1750735,45.4080576,,,,French Revolutionary Wars (1st Coalition),,
1465,Caldiero,Historical Conflict Event Dataset,1805,,,IT,,battlefield,300000835,,11.1750735,45.4080576,,,,Napoleonic Wars (3rd Coalition),,
1466,Calibio,Historical Conflict Event Dataset,1814,,,CO,,battlefield,300000835,,-75.59993,3.63081,,,,Colombian War of Independence,,
1467,Calicut,Historical Conflict Event Dataset,1500,,,IN,,battlefield,300000835,,75.78041,11.2587531,,,,Early Portuguese Colonial Wars in Asia,,
1468,Calicut,Historical Conflict Event Dataset,1790,,,IN,,battlefield,300000835,,75.78041,11.2587531,,,,3rd British-Mysore War,,
1469,Callao,Historical Conflict Event Dataset,1819,,,PE,,battlefield,300000835,,-77.1259843,-12.0508491,,,,Peruvian War of Independence,,
1470,Callao,Historical Conflict Event Dataset,1820,,,PE,,battlefield,300000835,,-77.1259843,-12.0508491,,,,Peruvian War of Independence,,
1471,Callao,Historical Conflict Event Dataset,1824,1826,,PE,,battlefield,300000835,,-77.1259843,-12.0508491,,,,Peruvian War of Independence,,
1472,Callao,Historical Conflict Event Dataset,1866,,,PE,,battlefield,300000835,,-77.1259843,-12.0508491,,,,Peruvian-Spanish War,,
1473,Calliano,Historical Conflict Event Dataset,1796,,,IT,,battlefield,300000835,,11.0940643,45.9344447,,,,French Revolutionary Wars (1st Coalition),,
1474,Callicinus,Historical Conflict Event Dataset,-0171,,,GR,,battlefield,300000835,,21.824312,39.074208,,,,3rd Macedonian War,,
1475,Callinicum,Historical Conflict Event Dataset,0297,,,SY,,battlefield,300000835,,38.9981052,35.9594106,,,,Roman-Persian Wars,,
1476,Callinicum,Historical Conflict Event Dataset,0531,,,SY,,battlefield,300000835,,38.9981052,35.9594106,,,,Byzantine-Persian Wars,,
1477,Caloocan,Historical Conflict Event Dataset,1899,,,PH,,battlefield,300000835,,121.0449768,14.7565784,,,,Philippine-American War,,
1478,Caloosahatchee,Historical Conflict Event Dataset,1839,,,US,,battlefield,300000835,,-81.7288115,26.6267572,,,,2nd Seminole Indian War,,
1479,Calpulalpam,Historical Conflict Event Dataset,1860,,,MX,,battlefield,300000835,,-98.5666077,19.5850377,,,,Mexican War of the Reform,,
1480,Calugareni,Historical Conflict Event Dataset,1595,,,RO,,battlefield,300000835,,25.9981703,44.1834954,,,,Wallachian-Turkish War,,
1481,Calumpit,Historical Conflict Event Dataset,1899,,,PH,,battlefield,300000835,,120.769476,14.9011437,,,,Philippine-American War,,
1482,Calven,Historical Conflict Event Dataset,1499,,,NL,,battlefield,300000835,,4.3168775,51.4095335,,,,Swabian War,,
1483,Calvi,Historical Conflict Event Dataset,1794,,,FR,,battlefield,300000835,,8.757222,42.567651,,,,French Revolutionary Wars (1st Coalition),,
1484,Camaret Bay,Historical Conflict Event Dataset,1694,,,FR,,battlefield,300000835,,-4.597114,48.275836,,,,War of the Grand Alliance,,
1485,Cambodia,Historical Conflict Event Dataset,1970,,,KH,,battlefield,300000835,,104.990963,12.565679,,,,['Vietnam War'],,
1486,Cambrai,Historical Conflict Event Dataset,1657,,,FR,,battlefield,300000835,,3.236633,50.173538,,,,Franco-Spanish War,,
1487,Cambrai,Historical Conflict Event Dataset,1917,,,FR,,battlefield,300000835,,3.236633,50.173538,,,,['World War'],,
1488,CambraiSt Quentin,Historical Conflict Event Dataset,1918,,,FR,,battlefield,300000835,,3.2295687,50.1697052,,,,['World War I'],,
1489,Camden,Historical Conflict Event Dataset,1780,,,US,,battlefield,300000835,,-80.6124805,34.3576605,,,,['y War of the   American Revolution'],,
1490,"Camel, England",Historical Conflict Event Dataset,0721,,,GB,,battlefield,300000835,,-4.9480606,50.5631827,,,,Anglo-Saxon Territorial Wars,,
1491,"Camel, Iraq",Historical Conflict Event Dataset,0656,,,IQ,,battlefield,300000835,,47.7834888,30.5081033,,,,Muslim Civil Wars,,
1492,Camerinum,Historical Conflict Event Dataset,-0295,,,IT,,battlefield,300000835,,13.0683254,43.1356503,,,,3rd Samnite War,,
1493,Camerone,Historical Conflict Event Dataset,1863,,,MX,,battlefield,300000835,,-96.2397967,19.1629278,,,,Mexican-French War,,
1494,Camerontown,Historical Conflict Event Dataset,1863,,,NZ,,battlefield,300000835,,174.8834158,-37.2559106,,,,2nd New Zealand War,,
1495,Camlann,Historical Conflict Event Dataset,0515,,,GB,,battlefield,300000835,,-2.0608113,51.1827546,,,,Anglo-Saxon Conquest of Britain,,
1496,Campaldino,Historical Conflict Event Dataset,1289,,,IT,,battlefield,300000835,,11.7530563,43.7374987,,,,Guelf-Ghibeline Wars,,
1497,Camp Allegheny,Historical Conflict Event Dataset,1861,,,US,,battlefield,300000835,,-80.379357,37.8011202,,,,American Civil War,,
1498,Campbells Station,Historical Conflict Event Dataset,1863,,,US,,battlefield,300000835,,-84.1809459,35.9083528,,,,['Civil War (Western Theatre'],,
1499,Camperdown,Historical Conflict Event Dataset,1797,,,NL,,battlefield,300000835,,4.6104103,52.7287632,,,,French Revolutionary Wars (Irish Rising),,
1500,Camp Grant,Historical Conflict Event Dataset,1871,,,US,,battlefield,300000835,,-110.6357978,32.7345067,,,,Apache Indian Wars,,
1501,Campi Cannini,Historical Conflict Event Dataset,0457,,,IT,,battlefield,300000835,,8.6721267,46.0431268,,,,Alemannic Invasion of Italy,,
1502,Campo,Historical Conflict Event Dataset,1811,,,PT,,battlefield,300000835,,-7.0700063,39.0134528,,,,Napoleonic Wars,,
1503,Campmany,Historical Conflict Event Dataset,1794,,,ES,,battlefield,300000835,,2.86518,42.3690113,,,,French Revolutionary Wars (1st Coalition),,
1504,Campo Mayor (st),Historical Conflict Event Dataset,1811,,,PT,,battlefield,300000835,,-7.0700063,39.0134528,,,,Napoleonic Wars (Peninsula Campaign),,
1505,Camposanto,Historical Conflict Event Dataset,1743,,,IT,,battlefield,300000835,,11.133333,44.783333,,,,['y War of the                     Austrian Succession'],,
1506,Campo Via,Historical Conflict Event Dataset,1933,,,PY,,battlefield,300000835,,-60.0203316,-23.7551519,,,,['Chaco War'],,
1507,Campus Ardiensis,Historical Conflict Event Dataset,0317,,,BG,,battlefield,300000835,,24.9840821,42.38788,,,,Roman Wars of Succession,,
1508,Campus Castorum,Historical Conflict Event Dataset,0069,,,IT,,battlefield,300000835,,10.2029953,45.1377558,,,,Vitellian Civil War,,
1509,Camp Wild Cat,Historical Conflict Event Dataset,1861,,,US,,battlefield,300000835,,-84.2542609,37.2574425,,,,American Civil War,,
1510,Canada el Carmen,Historical Conflict Event Dataset,1934,,,BO,,battlefield,300000835,,-62.7001769,-20.6040022,,,,Chaco War,,
1511,Canada Strongest,Historical Conflict Event Dataset,1934,,,PY,,battlefield,300000835,,-62.4021887,-21.666667,,,,Chaco War,,
1512,Canada Tarija,Historical Conflict Event Dataset,1934,,,PY,,battlefield,300000835,,-62.1799848,-22.6791213,,,,Chaco War,,
1513,Canal du Nord,Historical Conflict Event Dataset,1918,,,DE,,battlefield,300000835,,2.8951974,50.2380124,,,,['World War'],,
1514,Cancale,Historical Conflict Event Dataset,1758,,,FR,,battlefield,300000835,,-1.852279,48.67707,,,,Seven Years War,,
1515,Cancha Rayada,Historical Conflict Event Dataset,1813,,,CL,,battlefield,300000835,,-71.6549091,-35.4187512,,,,Chilean War of Independence,,
1516,Cancha Rayada,Historical Conflict Event Dataset,1818,,,CL,,battlefield,300000835,,-71.689872,-35.4496671,,,,Chilean Wars of Independence,,
1517,"Candelaria, Cuba",Historical Conflict Event Dataset,1896,,,CU,,battlefield,300000835,,-82.9678374,22.7398316,,,,2nd Cuban War of Independence,,
1518,"Candelaria, Mexico",Historical Conflict Event Dataset,1864,,,MX,,battlefield,300000835,,-102.0360207,22.744599,,,,Mexican-French War,,
1519,Candia,Historical Conflict Event Dataset,1648,1669,,GR,,battlefield,300000835,,25.1442126,35.3387352,,,,Venetian-Turkish War,,
1520,Cane Hill,Historical Conflict Event Dataset,1862,,,US,,battlefield,300000835,,-94.4499557,35.9004562,,,,American Civil War,,
1521,Cannae,Historical Conflict Event Dataset,-0216,,,IT,,battlefield,300000835,,16.1491646,41.284605,,,,2nd Punic War,,
1522,Cannae,Historical Conflict Event Dataset,1018,,,IT,,battlefield,300000835,,16.1491646,41.284605,,,,Norman Conquest of Sicily,,
1523,Canon de Ugalde,Historical Conflict Event Dataset,1790,,,US,,battlefield,300000835,,-99.5691403,29.7646839,,,,Mexican-Apache Wars,,
1524,Cantigny,Historical Conflict Event Dataset,1918,,,FR,,battlefield,300000835,,2.4934569,49.663703,,,,['World War'],,
1525,Canton,Historical Conflict Event Dataset,1856,,,CN,,battlefield,300000835,,113.2332936,22.9041535,,,,Attack on the Canton Forts,,
1526,Canton,Historical Conflict Event Dataset,1928,,,CN,,battlefield,300000835,,113.2332936,22.9041535,,,,2nd Chinese Revolutionary Civil War,,
1527,Canudos,Historical Conflict Event Dataset,1896,,,BR,,battlefield,300000835,,-39.2015124,-10.0029935,,,,Canudos Rebellion,,
1528,Canudos,Historical Conflict Event Dataset,1897,,,BR,,battlefield,300000835,,-39.2015124,-10.0029935,,,,Canudos Rebellion,,
1529,Canyon Creek,Historical Conflict Event Dataset,1877,,,US,,battlefield,300000835,,-112.2645583,46.8067243,,,,Nez Perce Indian War,,
1530,Canyon de Chelly,Historical Conflict Event Dataset,1864,,,US,,battlefield,300000835,,-109.4716331,36.1336111,,,,Navajo Indian War,,
1531,Canyon of the Dead Sheep,Historical Conflict Event Dataset,1857,,,US,,battlefield,300000835,,-109.6593419,33.014936,,,,Apache Indian Wars,,
1532,CaoBang,Historical Conflict Event Dataset,1950,,,VN,,battlefield,300000835,,106.2522143,22.635689,,,,French Indo-China War,,
1533,Caohekou,Historical Conflict Event Dataset,1894,,,CN,,battlefield,300000835,,123.5135301,40.8693432,,,,Sino-Japanese War,,
1534,Cape Bon,Historical Conflict Event Dataset,0468,,,TN,,battlefield,300000835,,11.4326383,37.1654163,,,,Roman-Vandal Wars,,
1535,Cape Bon,Historical Conflict Event Dataset,1941,,,TN,,battlefield,300000835,,11.4326383,37.1654163,,,,"['World War II', '(War at Sea']",,
1536,Cape Carmel,Historical Conflict Event Dataset,1799,,,IL,,battlefield,300000835,,34.9488383,32.8407435,,,,French Revolutionary Wars (Middle East),,
1537,Cape Cherchell,Historical Conflict Event Dataset,1937,,,DZ,,battlefield,300000835,,2.1851203,36.6220683,,,,Spanish Civil War,,
1538,Cape Colony,Historical Conflict Event Dataset,1795,,,ZA,,battlefield,300000835,,18.627958,-33.9335203,,,,French Revolutionary Wars (1st Coalition),,
1539,Cape Engano,Historical Conflict Event Dataset,1944,,,PH,,battlefield,300000835,,122.1197263,18.6067181,,,,['World War II'],,
1540,Cape Espartel,Historical Conflict Event Dataset,1936,,,,,battlefield,300000835,,-5.9424177,35.7870213,,,,Spanish Civil War,,
1541,Cape Esperance,Historical Conflict Event Dataset,1942,,,SB,,battlefield,300000835,,159.7144783,-9.25,,,,['World War II'],,
1542,Cape Finisterre (nd),Historical Conflict Event Dataset,1747,,,ES,,battlefield,300000835,,-9.6965547,42.7842749,,,,War of the Austrian Succession,,
1543,Cape Finisterre (st),Historical Conflict Event Dataset,1747,,,ES,,battlefield,300000835,,-9.6965547,42.7842749,,,,War of the Austrian Succession,,
1544,Cape Finisterre,Historical Conflict Event Dataset,1780,,,ES,,battlefield,300000835,,-9.6965547,42.7842749,,,,Seven Years War,,
1545,Cape Finisterre,Historical Conflict Event Dataset,1805,,,ES,,battlefield,300000835,,-9.6965547,42.7842749,,,,Napoleonic Wars (3rd Coalition),,
1546,Cape Girardeau,Historical Conflict Event Dataset,1863,,,US,,battlefield,300000835,,-89.6258262,37.3041964,,,,American Civil War,,
1547,Cape Gloucester,Historical Conflict Event Dataset,1943,,,PG,,battlefield,300000835,,148.4048563,-5.444722,,,,World War Two,,
1548,Cape Kaliakra,Historical Conflict Event Dataset,1791,,,BG,,battlefield,300000835,,28.4630093,43.3589779,,,,Catherine the Great's 2nd Turkish War,,
1549,Cape Matapan,Historical Conflict Event Dataset,1717,,,GR,,battlefield,300000835,,22.4778023,36.2850483,,,,Austro-Turkish War,,
1550,Cape Matapan,Historical Conflict Event Dataset,1718,,,GR,,battlefield,300000835,,22.4778023,36.2850483,,,,Austro-Turkish War,,
1551,Cape Matapan,Historical Conflict Event Dataset,1941,,,GR,,battlefield,300000835,,22.4778023,36.2850483,,,,"['World War II', '(War at Sea']",,
1552,Cape Palos,Historical Conflict Event Dataset,1938,,,ES,,battlefield,300000835,,-0.6277297,37.643331,,,,Spanish Civil War,,
1553,Cape Passaro,Historical Conflict Event Dataset,1718,,,IT,,battlefield,300000835,,12.4878213,41.9214346,,,,War of the Spanish Succession,,
1554,Cape Passaro,Historical Conflict Event Dataset,1940,,,IT,,battlefield,300000835,,12.4878213,41.9214346,,,,World War II,,
1555,Cape Sarych,Historical Conflict Event Dataset,1914,,,UA,,battlefield,300000835,,33.7300303,44.3783018,,,,World War I,,
1556,Cape Palos,Historical Conflict Event Dataset,1940,,,ES,,battlefield,300000835,,-0.5515797,37.6128722,,,,Spanish Civil War,,
1557,Cape St George,Historical Conflict Event Dataset,1943,,,SB,,battlefield,300000835,,152.8724763,-4.8952507,,,,['World War II'],,
1558,Cape St Mathieu,Historical Conflict Event Dataset,1293,,,FR,,battlefield,300000835,,-4.9902607,48.3180465,,,,Anglo-French Wars,,
1559,Cape St Vincent,Historical Conflict Event Dataset,1606,,,PT,,battlefield,300000835,,-9.0127827,37.0270383,,,,Netherlands War of Independence,,
1560,Cape St Vincent,Historical Conflict Event Dataset,1780,,,PT,,battlefield,300000835,,-9.0127827,37.0270383,,,,War of the American Revolution,,
1561,Cape St Vincent,Historical Conflict Event Dataset,1797,,,PT,,battlefield,300000835,,-60.2231588,46.1101555,,,,French Revolutionary Wars (1st Coalition),,
1562,Cape St Vincent,Historical Conflict Event Dataset,1833,,,PT,,battlefield,300000835,,-60.2231588,46.1101555,,,,Miguelite Wars,,
1563,Cap Francais,Historical Conflict Event Dataset,1757,,,HT,,battlefield,300000835,,-72.1531247,19.810337,,,,Seven Years War,,
1564,Capharsalma,Historical Conflict Event Dataset,-0161,,,IL,,battlefield,300000835,,34.7968618,32.051617,,,,['Maccabean War'],,
1565,Caporetto,Historical Conflict Event Dataset,1917,,,SI,,battlefield,300000835,,13.5786949,46.2456971,,,,['World War'],,
1566,"Capri,",Historical Conflict Event Dataset,1815,,,IT,,battlefield,300000835,,10.8417364,44.7787652,,,,Napoleonic Wars (100 Days Campaign),,
1567,Capua,Historical Conflict Event Dataset,-0212,,,IT,,battlefield,300000835,,14.2130486,41.1061258,,,,2nd Punic War,,
1568,Capua,Historical Conflict Event Dataset,-0211,,,IT,,battlefield,300000835,,14.2130486,41.1061258,,,,2nd Punic War,,
1569,Carabobo,Historical Conflict Event Dataset,1814,,,VZ,,battlefield,300000835,,-68.2359974,10.0040882,,,,Venezuelan War of Independence,,
1570,Carabobo,Historical Conflict Event Dataset,1821,,,VZ,,battlefield,300000835,,-68.2359974,10.0040882,,,,Venezuelan War of Independence,,
1571,Caracas,Historical Conflict Event Dataset,1821,,,VZ,,battlefield,300000835,,-66.9036063,10.4805937,,,,Venezuelan War of Independence,,
1572,Caravaggio,Historical Conflict Event Dataset,1448,,,IT,,battlefield,300000835,,9.6537855,45.5050243,,,,Milanese War of Succession,,
1573,Carberry Hill,Historical Conflict Event Dataset,1567,,,GB,,battlefield,300000835,,-3.0271613,55.9174572,,,,Uprising against Mary Queen of Scots,,
1574,Carbiesdale,Historical Conflict Event Dataset,1650,,,GB,,battlefield,300000835,,-4.2499241,57.6996856,,,,British Civil Wars,,
1575,Carcassonne,Historical Conflict Event Dataset,0589,,,FR,,battlefield,300000835,,2.3517703,43.2132151,,,,Frankish Imperial Wars,,
1576,Carcassonne,Historical Conflict Event Dataset,1209,,,FR,,battlefield,300000835,,2.3517703,43.2132151,,,,Albigensian Crusade,,
1577,Carchemish,Historical Conflict Event Dataset,-0605,,,SY,,battlefield,300000835,,37.9978113,36.916667,,,,Babylon's Wars of Conquest,,
1578,Cardedeu,Historical Conflict Event Dataset,1808,,,ES,,battlefield,300000835,,2.3591531,41.6394024,,,,Napoleonic Wars (Peninsula Campaign),,
1579,Carham,Historical Conflict Event Dataset,1018,,,GB,,battlefield,300000835,,-2.320551,55.638678,,,,Danish Conquest of England,,
1580,Carhampton,Historical Conflict Event Dataset,0835,,,GB,,battlefield,300000835,,-3.4191651,51.1739061,,,,Viking Raids on Britain,,
1581,Carhampton,Historical Conflict Event Dataset,0843,,,GB,,battlefield,300000835,,-3.4191651,51.1739061,,,,Viking Raids on Britain,,
1582,Carillo,Historical Conflict Event Dataset,1813,,,CO,,battlefield,300000835,,-75.8440063,8.980211,,,,Colombian War of Independence,,
1583,Carisbrook,Historical Conflict Event Dataset,0530,,,GB,,battlefield,300000835,,-1.3117461,50.6914722,,,,Anglo-Saxon Conquest of Britain,,
1584,Carlisle,Historical Conflict Event Dataset,1745,,,GB,,battlefield,300000835,,-2.932931,54.892473,,,,Jacobite Rebellion (the 45),,
1585,Carlos Antonio Lopez,Historical Conflict Event Dataset,1932,,,PY,,battlefield,300000835,,-54.7662021,-26.3985579,,,,Chaco War,,
1586,Carlow,Historical Conflict Event Dataset,1798,,,IE,,battlefield,300000835,,-6.9341359,52.8365072,,,,Irish Rebellion,,
1587,Carmen Alto,Historical Conflict Event Dataset,1844,,,PE,,battlefield,300000835,,-74.269983,-13.2049225,,,,Peruvian Civil War,,
1588,Carnifex Ferry,Historical Conflict Event Dataset,1861,,,US,,battlefield,300000835,,-80.9390014,38.2130178,,,,American Civil War,,
1589,Carpathian Passes,Historical Conflict Event Dataset,1241,,,RO,,battlefield,300000835,,25.5908974,47.2390429,,,,Mongol Invasion of Europe,,
1590,Carpathians,Historical Conflict Event Dataset,1915,,,RO,,battlefield,300000835,,25.5908974,47.2390429,,,,['World War I'],,
1591,Carpi,Historical Conflict Event Dataset,1701,,,IT,,battlefield,300000835,,10.8796629,44.7838779,,,,War of the Spanish Succession,,
1592,Carpinteria,Historical Conflict Event Dataset,1836,,,UY,,battlefield,300000835,,-56.0188557,-32.933333,,,,Uruguayan Civil War,,
1593,Carpio de Azaba,Historical Conflict Event Dataset,1811,,,ES,,battlefield,300000835,,-6.6492911,40.5959917,,,,Napoleonic Wars (Peninsula Campaign),,
1594,Carrhae,Historical Conflict Event Dataset,-0053,,,TR,,battlefield,300000835,,39.024276,36.863131,,,,Roman-Parthian Wars,,
1595,Carrickfergus,Historical Conflict Event Dataset,1760,,,GB,,battlefield,300000835,,-5.8101207,54.7261871,,,,Seven Years War,,
1596,Carrickfergus,Historical Conflict Event Dataset,1778,,,GB,,battlefield,300000835,,-5.7061827,54.7101761,,,,War of the American Revolution,,
1597,Carrizal,Historical Conflict Event Dataset,1916,,,US,,battlefield,300000835,,-73.9228741,40.6897974,,,,Expedition against Villa,,
1598,"Cartagena, Colombia",Historical Conflict Event Dataset,1586,,,CO,,battlefield,300000835,,-75.4794257,10.3910485,,,,Drake's Caribbean Raids,,
1599,"Cartagena, Colombia",Historical Conflict Event Dataset,1697,,,CO,,battlefield,300000835,,-75.4794257,10.3910485,,,,War of the Grand Alliance,,
1600,"Cartagena, Colombia",Historical Conflict Event Dataset,1708,,,CO,,battlefield,300000835,,-75.4794257,10.3910485,,,,War of the Spanish Succession,,
1601,"Cartagena, Colombia",Historical Conflict Event Dataset,1741,,,CO,,battlefield,300000835,,-75.8670107,10.4472853,,,,War of the Austrian Succession,,
1602,"Cartagena, Colombia",Historical Conflict Event Dataset,1815,,,CO,,battlefield,300000835,,-75.4794257,10.3910485,,,,Colombian War of Independence,,
1603,"Cartagena, Colombia",Historical Conflict Event Dataset,1820,,,CO,,battlefield,300000835,,-75.4794257,10.3910485,,,,Colombian War of Independence,,
